	Topic_Num	Topic_Perc_Contrib	Keywords	Text
?	EES did not terminate any customer contracts, and our customers continue to receive the financial benefits of their contract prices.
?	EES is continuing to work with its California customers to provide them with other energy-related products and services, including assistance in reducing the demand for power, particularly at peak times.

Enron is currently proposing solutions to help California work out of its crisis; Enron continues to sign up customers in the state; and Enron continues to actively manage its risks and capture opportunities in Western power markets.  Enron's primary business is managing risk for our customers with solutions customized to meet their needs.  There has never been more demand for our products and services.

The Solution

The solution to California's crisis is also straightforward.  In summary, the state must increase supply, reduce demand, reduce reliance on the spot market and shore up the financial stability of the state's utilities.

Increasing Supply

California's process for siting and permitting new generation is nothing short of Byzantine.  Enron has built plants elsewhere in the country in less than a year.  In California, it often takes 5 to 7 years.  California simply must streamline this process.  Ironically, while many of the regulations generators must overcome are aimed at improving environmental quality, the regulations are preventing new clean technology from coming online and displacing current plants, which emit 40 times as much NOx.  California can have abundant power and cleaner air by expediting the permitting of new facilities.

Reducing Demand

Customers in California today have no incentive to reduce or shift demand.  They pay the same rate no matter what the market price is.  An open retail market would trigger demand responses, which would balance supply and demand at lower prices than today.  California should fully open its retail market.

Reducing Reliance on the Spot Market

In a truly deregulated market, customers would protect themselves from volatile spot prices by purchasing some of their requirements on a longer term, fixed-price basis.  The state has instead left procurement in the hands of the utilities, which it has forced to buy exclusively in the spot market.  Opening the market at the retail level will give customers control over their price risk.

Restoring the Financial Integrity of the State's Institutions

The utilities in California are not paying their bills.  This has led to greater uncertainty in the market, higher costs, and reduced flexibility to arrive at lasting solutions.  California must permit its utilities to recover their costs so they can pay their bills and invest in the transmission and distribution assets necessary to get power from where it is to where it is needed.

Just as important as doing these things, the state must avoid policies that, while politically attractive, do not fix the problem or even make matters worse.  Price caps have been proposed.  They don't work; have never worked; and they will not work here.  Price caps succeed only in creating shortages, which then have to be allocated among competing users.  Imagine how ineffectively the government would be in determining, for example, whether it is better to make its limited power supplies available to the Imperial Valley or Silicon Valley.  Price caps are a surefire way to make the current shortage worse.

The state has also proposed to take over generation and transmission in California.  There is no reason to believe, and every reason to doubt, that the state will be more effective than free markets at investing in, constructing, operating and maintaining assets.  This will also result in California tax revenues being spent on power transmission and power generation -- which the private sector can do -- instead of education, roads and other public goods -- which the private sector cannot do.

As you are approached by people outside the company or are learning about the crisis from the media, it's important for you to know this:  We at Enron will continue to serve our customers and we will continue to propose real solutions to the state.  "
2	2.0	0.8743	year, team, play, game, time, good, week, run, point, back	"Jerry Scarbrough's True Orange
The Internet Newsletter for the True Texas Longhorn Faithful

Volume 11, No. 4, November 6, 2000

Mitchell, Stockton, Defense Lead Longhorns
Past Raiders; Applewhite Hurts Other Knee

It was a game of surges, weather wise and on the football field, Saturday
night in Lubbock and Texas triumphed, 29-17, because the Longhorns had two
surges and Texas Tech had only one.
The Longhorns dominated the first quarter  an d most of the second in cold,
rainy, sold-out Jones Stadium, coming out smoking offensively for the first
time all season.
Midway through the second quarter, Texas was ahead, 16-0, and seemingly on
the way to an easy win. But Texas Tech scored 10 points before intermission,
then scored again early in the second half to take a 17-16 lead.
Despite losing QB Major Applewhite to a knee injury (the right one, not the
surgically repaired left one), the Longhorns roared back to score the game's
final 13 points to claim the victory and stay alive in the Big 12 title chase.
Coach Mack Brown said an MRI was done on Applewhite's knee Sunday and he
hopes to know the results sometime Monday. He said he is hoping it is just a
sprain.
The Longhorn heroes were plentiful. Offensively, the entire line played
great, TB Hodges Mitchell was tremendous and Kris Stockton booted five field
goals and narrowly missed on a 55-yard attempt late in the first half.
Mitchell had 45 carries for 229 yards and scored both Longhorn touchdowns. He
also caught six passes for 38 yards.
Defensively, the Horns forced five turnovers, which the offense converted
into 20 points, and shut the Raider offense out for the final 25 minutes.
The victory gave Texas a 7-2 season record and 5-1 Big 12 mark, while Tech
fell to 6-4 overall and  2-4 in the Big 12.
If Texas A&M upsets Oklahoma this weekend, the Longhorns can tie the Sooners
for the Big 12 South title by beating Kansas and A&M to close the regular
season.
By virtue of their win over the Horns, the Sooners would represent the South
in the title game, but the tie and a 9-2 record would land the Longhorns in a
top bowl game.
The Longhorns have won four games in a row after a slow start this season.
Here, briefly, is how the game went:
FIRST QUARTER
The Longhorns moved the ball all over the field in the first quarter and took
a 10-0 lead. They got the ball first and drove 69 yards to the Tech 5, with
Mitchell getting all of the yardage on six tough runs behind good blocking
and a 1-yard pass reception. But the drive stalled and Stockton kicked a
23-yard field goal for a 3-0 lead with 11:08 left. Tech went three plays and
out, and Mitchell led another Longhorn drive that went 62 yards for a
touchdown and a 10-0 lead with 6:18 left. He carried four times for 35 yards,
including a 5-yard burst over right tackle for the TD. Applewhite also hit
freshman TE Brock Edwards for 18 yards during the drive. With the aid of two
penalties against UT, the Raiders drove to the Texas' 11, and QB Kliff
Kingsbury hit WR Tim Baker at the 5, but Baker fumbled and the Horns
recovered and were on the move again when the quarter ended.
SECOND QUARTER
The  drive that started at the Texas 5 stalled at the TT 30, but Stockton's
47-yard field goal gave UT a 13-0 leadwith 12:54 left. UT safety Greg Brown's
interception of a long Kingsbury pass killed Tech's next effort, but Texas
couldn't move and punted for the first time. Kingsbury, operating out of the
shotgun, bobbled a low snap and UT CB Ahmad Brooks fell on the loose ball at
the Raiders' 16. The Horns picked up a first down at the 4, but Mitchell was
stopped for no gain and two passes were incomplete, so Stockton kicked a
22-yard field goal for a 16-0 lead with 9:06 left. But the Raiders came right
back and Kingsbury hit WR Carlos Francis for a 39-yard touchdown strike that
cut the UT lead to 16-7 with 7:34 remaining. Texas had to punt   and Tech,
aided by a pass interference penalty, drove to the UT 11 before settling for
a 28-yard field goal to cut the deficit to 16-10 with 5:34 left. Applewhite
was sacked and fumbled on UT's next possession, giving the Raiders great
field position at the Texas 33. But the Longhorn defense held and a 49-yard
field goal try fell short. UT drove to the Tech 38, but Stockton's 55-yard
field goal try  just missed to the left in the final 30 seconds of the half.
THIRD QUARTER
Tech got the ball to start the half, but couldn't mount a drive. But
Applewhite's  pass was picked off by Tech DB John Norman, who ran it back to
the UT 14. Kingsbury got 13 yards on a QB draw, which was the longest Raider
run of the game, and Ricky Williams went over the top for the final yard. The
extra point put Tech on top, 17-16, with 10:35 left. But that lead was short
lived. Starting from their 25, the Longhorns drove to the Tech 18 before
Applewhite was sacked on a third-down play. He came up limping and never
returned to the game. Stockton booted a 36-yard field goal to put Texas back
on top, 19-17, with 6:07 left. The Raiders went three plays and out and so
did the Longhorns, but Stockton's punt was fumbled at the Tech 18 and Michael
Ungar recovered for the Horns. Behind great blocking, Mitchell ran for 8,
then for the final 10 and the TD that gave Texas a little breathing room at
26-17, with 2:07 left. The Raiders were driving as the quarter ended.
FOURTH QUARTER
DE Cole Pittman sacked Kingsbury on the first play of the quarter and CB
Roderick Babers intercepted Kingsbury's pass two plays later and ran it back
23 yards to the Tech 45. Mitchell carried fiv e times fror 25 yards and
Simms, under a big rush, found Johnson for 9 yards. But a penalty set the
Horns back and Stockton came in to boot his fifth field goal, a 32-yarder, to
put the Horns on top, 29-17, with 9:54 left. The Raiders killed most of the
clock with a long drive that came up empty. They drove from their own 20 to
the UT 33 so slowly and laboriously that the clock ran from 9:54 to 4:01 by
the time their fourth-down pass sailed incomplete. The drive would have ended
much earlier, but for two strange penalties against the Horns. One was a late
offside call after UT recovered a fumble and the other was a personal foul on
UT DE Cory Redding after he sacked Kingsbury. The officials said the foul was
a blow to the head, but Redding didn't appear to hit him in the head. At any
rate, after the fourth-down play failed, Mitchell carried six straight times
for 28 yards and two first downs to run out the rest of the clock.


900 Number Updated Daily

I update my 900 number daily with football and football recruiting news. The
number is 1-900-288-8839. It costs $1.59 a minute. You must be 18 to call.

Coach's Corner

Coach Mack Brown said Sunday QB Major Applewhite's knee injury Saturday night
does not appear to be as serious as the one he suffered in the Cotton Bowl
game against Arkansas.
The injury to Applewhite's left knee in the Cotton Bowl required surgery to
repair a torn ACL (anterier cruciate ligament.
Brown said the injury to his right knee Saturday in Lubbock might be just a
sprain. ""I'm not a doctor, so I don't know,"" he said. ""We're having an MRI
done today, and we'll know more tomorrow.""
But Applewhite had to be taken off the field on a stretcher in the Cotton
Bowl and he was standing on the sideline with Brown at the end of the Texas
Tech game.
""We were standing on the sideline at the end of the game,"" Brown said. ""He
walked off the field with me. He was upbeat and excited about the game. It
sure didn't look like what happened to him in the Arkansas game.""
He said Chris Simms played well in relief and he said the fact that Simms
played as much as he did early this season is a big plus if Applewhite's
injury turns out to be serious.
""Chris progresses every time he walks out on the field,"" Brown said. ""He put
a tremendous amount of pressure on himself early in the season. I felt like
last night was the most comfortable he has been.""
""There is no doubt in our minds that Chris is more ready to play now than he
was at the first of the season,"" Brown said.
Simms threw only two passes and he completed both of them. As he said, ""my
main job was pitching to Hodges left and pitching to Hodges right.""
With Hodges Mitchell rushing for 229 yards and 45 carries (both career highs)
and the line opening huge holes, that was the Longhorn offense for most of
the night.
Brown also said he probably wouldn't take the redshirt off freshman QB Chance
Mock if Applewhite's injury is serious. ""We'll talk about that. I'd think
right now we'd play Beau Trahan.""
Brown said freshman TE Brock Edwards ""played really well,"" and he said DT
Casey Hampton, DEs Cory Redding and Kalen Thornton, LB De'Andre Lewis and DBs
Quentin Jammer, Rod Babers and Greg Brown played well, too. He said LB Tyrone
Jones ""had by far his best game.""
He also said the offensive line ""played great and Hodges did a great job of
picking his holes. We've shown the ability in the last four games to throw it
or run it. We couldn't do that earlier in the year.""
Brown said the five Tech turnovers were a great credit to the UT defense, and
he said, ""I'm really proud of the offense to, with four minutes left, take it
and drive it on the ground and run out the clock. I've alway said you need to
be able to run the ball in the fourth quarter to win.""

Owens, Thomas Lead Horns

Junior 6-9 forward Chris Owens had 27 points and 14 rebounds and 6-8 freshman
forward James Thomas had 25 points and nine rebounds to lead the Longhorn
basketball team to a 92-81 exhibition victory over Team Ezybonds of Australia
before 2,305 fans at the Frank Erwin Center Sunday night.
""I think, for the most part, we played hard tonight,"" Texas coach Rick Barnes
said.  ""I think our guys realize that with being such a young team, you have
to go through some growing pains.  Our defense was not good tonight.  We got
hurt in transition defense and by dribble penetration, so we'll obviously
have to work on those things.""
Owens scored his 27 points on 11-of-22 shooting in just 28 minutes of work,
while Thomas went 10-of-16 from the floor. Junior swingman Maurice Evans
added 13 points on 5-of-13 shooting, while junior point guard Fredie Williams
had five points, seven assists andseven steals.
Texas concludes its exhibition season with a home game against EA Sports
California All-Stars Wednesday at 7 p.m. at the Erwin Center.
The Longhorns open the 2000-01 regular season when they host Navy on Monday,
Nov 13 in the opening round of the Preseason NIT at 7 p.m. at the Erwin
Center.

Dillard, Freshmen Sparkle

Sophomore guard Tai Dillard led six Longhorn players in double figures with a
team-high 16 points, plus seven assists and eight steals to pace the Texas
women's basketball team to a 91-56 victory over Spartak-Moscow in exhibition
game action at the Center Thursday night.
Texas never trailed in the contest, jumping out to a 12-0 lead in the first
2:56 of the game.  UT was aided  by seven Spartak-Moscow turnovers in that
span.
Spartak-Moscow, which opened a two-week exhibition swing through the states
of Texas and Louisiana against the Longhorns, committed 36 turnovers, 19 of
which came in the first half. Texas had 22 steals in the game, while
Spartak-Moscow had 13.
Joining Dillard in double-figure scoring were sophomore guard Alisha Sare,
who had 13 points and hit three 3-pointers, and freshman forward Annissa
Hastings and junior forward Tracy Cook, who each added 12 points. Senior
guard JoRuth Woods finished with 11 points, while freshman forward Stacy
Stephens scored 10 points..
""We'll need to spend some time looking at the videotape of this game, because
everything that could happen in a basketball game happened here tonight,""
said Texas head coach Jody Conradt. ""I think we started strong, pushing the
ball up the floor which was good, but then the game was too easy at the
start, and we got into a lull.""

Injury Update

Coach Mack Brown said Sunday reserve CB Ervis Hill suffered a separated
shoulder and will miss the Kansas game, but he said OG Antwan Kirk-Hughes
played most of the Texas Tech game without having any shoulder problems.
Kirk-Hughes' shoulder had been popping out, but Brown said he was encouraged
that he went through an entire game without problems.
He also said DT Shaun Rogers played without reinjuring his ankle.
Redshirt freshman DT Ryan Haywood underwent shoulder surgery Wednesday and is
out for the remainder of the season.
Brown said Haywood had a high school shoulder injury that flared up again
this year.
He said the surgery should eliminate the problem, and he said Haywood might
be available for part or possibly all of spring practice.

Texas No. 19, Favored by 13

Texas is No. 19 this week in both the Associated Press and USA Today
football polls and the Longhorns are favored over Kansas by 13 points for
their Saturday ame in Lawrence.
Other Big 12 teams in the AP poll are Oklahoma, the nation's only remaining
undefeated team, at No. 1, followed by Nebraska at No. 4, Kansas State at No.
16 and Texas A&M at No. 23.

The True Orange Fax/E-Mail
Service Is a Great Holiday Gift
I'll Have Frequent Reports on Recruiting And Practice Throughout the Season
! Get Instant Updates for Pennies a Day !
Save As An E-Mail Subscriber !
The True Orange Fax/E-Mail Service is the way to keep up with Longhorn
football and Longhorn recruiting ) instantly. Follow Mack Brown and the
Longhorns with frequent fax updates. There are at least 99 timely faxes a
year, primarily about football and football recruiting.  To  subscribe, send
your check to True Orange, Box 26530, Austin, Texas 78755, and copy or clip
the coupon below and fill in the blanks. If you want it mailed, or by E-Mail,
just include the right numbers.

o I'm enclosing $99 for the 99-fax package for the next year
o I'm enclosing $130 (a $14 saving) to renew my subscription to True Orange
and to subscribe to the 99 faxes.
o I'm enclosing $79 for the 99-fax package for the next year by E-Mail (a $20
saving)
o Here's  $110 to renew my subscription to True Orange and to subscribe to
the 99 faxes by E-Mail (a $31 saving)
o Here's  $99 to subscribe to True Orange by E-Mail and to subscribe to the
99 faxes by E-Mail (a $42 saving)

Name

Fax No.
(or E-Mail or mailing address)

Game Quotes . .
""Our kids played their guts out. This is the kind of win you like because we
showed some toughness. We have played the last four weeks better as a team.
We felt like we needed to run the ball to wear them down. Hodges Mitchell
took over the game. He had a tremendous night and the offensive line did a
tremendous job.""
) UT head coach Mack Brown
* * * *
""Games like this are why you coach. It was a tough, hard-fought game on both
sides. Our offense did a great job. Our ball control offense controlled the
clock and kept the defense fresh.""
) UT defensive coordinator Carl Reese
* * * *
""Texas Tech's defense was 20th in the country, and we felt like we needed to 
establish the run and stay two-dimensional. Our offensive line did a great
job. I thought our drive for a field goal right after they took the lead was
really critical. They had taken the momentum from us, and we got it back.""
) UT offensive coordinator Greg Davis
* * * *
""The draw play was open for them all night. We were trying to rush the
passer, and they kept hurting us with that draw.""
) Texas Tech head coach Mike Leach
* * * *
""We were moving it down the field, but we made some mistakes at crucial
times. You can't give a good team like Texas that many opportunities with
fumbles. But they had a good scheme, and it really got the best of us.""
)  Raider QB Kliff Kingsbury
* * * *
""I played almost all of my high school games on turf. On turf, I feel quicker
than everybody else. The Tech defense was doing a lot of blitzing, and the
offensive line did a great job picking them up and creating seams for me to
run through.""
) Texas tailback Hodges Mitchell
* * * *
""We'll get patted on the back. Some will take it the wrong way and get big
heads. It's up to the seniors to take care of that.""
) Texas safety Greg Brown, one of only five senior starters, commenting on
the team's propensity for getting overconfident
* * * *
""This is such a great feeling. Words can't express how excited I am to come
up here and win in Lubbock.""
) Longhorn DT Casey Hampton
* * * *
""We grew up as a team tonight. We never doubted we would win this game.""
) Texas CB Roderick Babers
* * * *
""What the offensive line did was amazing.""
) Longhorn backup QB Chris Simms

Texas-Texas Tech Statistics
Scoring Summary

Texas               10       6       10       3 )    29
Texas Tech       0       10        7       0    )    17

UT - Stockton 22 FG 11:08 1Q (69 yds, 10 plays)
UT - Mitchell 5 run (Stockton kick) 6:18 1Q (62 yds, 7 plays)
UT - Stockton 47 FG 12:54 2Q (65 yds, 17 plays)
UT - Stockton 22 FG 9:06 2Q (12 yds, 7  plays)
TT - Francis 39 pass from Kingsbury (Birkholz kick) 7:34 2Q (84 yds, 4 plays)
TT - Birkholz 28 FG 5:34 2 Q (30 yds, 7 plays)
TT - R. Williams 1 run (Birkholz kick) 10:35 3Q (14 yds, 2 plays)
UT - Stockton 36 FG 6:07 3Q (55  yds, 10 plays)
UT - Mitchell 10 run (Stockton kick) 2:07 3Q (18 yds, 2 plays)
UT - Stockton 32 FG 9:54 4Q (30  yds, 7  plays)

Official Attendance: 53,027

Team Statistics

Texas          Texas Tech
First Downs                         26           20
Rushing                             15             3
Passing                                 9            12
Penalty                                 2              5
Rushing Attempts, Net Yards         53-233            14-17
Net Yards Passing        182            282
Passes Comp., Att., Int.                 20-35-1        28-49-2
Total Plays, Offense                    88-415       63-299
Avg. Gain per Play                          4.7        4.7
Fumbles Lost                            1 of  1      3 of 7
Penalties, Yards                    1   2-130         5-35
Punts, Avg.                         3-40          3-40
Time of Possession              38:56         21:04
Third-Down Conversions               7 of 19         4 of 13
Fourth-Down Conversions     0 of  0      0 of 2
Sacks by Team, Yds Lost      3-23         2-8

Individual Statistics

Texas
Rushing -  Mitchell 45-229, 2 TD; Johnson 1-7; Robin 1-2; Applewhite 5-minus
2; Simms 1-minus 3.
Passing -  Applewhite 18-33, 164 yds, 0 TD, 1 Int.; Simms  2-2, 18 yds, 0 TD,
0 Int.
Receiving - Johnson 5-50; Edwards 2-41; Mitchell 6-38; Williams 4-30; Healy
2-16; Robin 1-7.

Texas Tech
Rushing - R. Williams 5-32, 1 TD; S. Williams 2-2; Team 1-minus 2; Welker
2-minus 5; Kingsbury 4-minus 10.
Passing -Kingsbury  28-49, 282 yds, 1 TD, 2 Int.
Receiving - Francis 7-97, 1 TD; Welker 4-72; Dorris 5-60; Baker 6-25; Roberts
1-18; S. Williams 4-7; R. Williams 1-3.

Tackles by Texas Players, Unasst., Asst., Total

G. Brown 7-0-7; Jammer 5-0-5; T. Jones 3-0-3; Thornton 3-0-3; Vasher 3-0-3;
Redding 3-0-3; Gordon 2-0-2; Hampton 2-0-2; Babers 2-0-2; Rawls 1-0-1;
Pittman 1-0-1; Tubbs 1-0-1; Rogers 1-0-1; Lewis 1-0-1; Walker 1-0-1; Brooks
1-0-1; Boyd 1-0-1.

Tackles for Losses: Thornton 2-minus 3; Tubbs 1-minus 1
.
Sacks: Redding 1-minus 13; T. Jones 1-minus 7; Pittman 1-minus 3.
"
3	3.0	0.8588	power, energy, http, powermarketer, gas, service, online, utility, www, plant	"

Return-Path: <pma-marketplace@mgfairfax.rr.com>
Received: from  rly-xb02.mx.aol.com (rly-xb02.mail.aol.com [172.20.105.103]) by air-xb05.mail.aol.com (v77_r1.36) with ESMTP; Tue, 05 Jun 2001 01:27:35 -0400
Received: from  mail7.mgfairfax.rr.com ([24.93.67.54]) by rly-xb02.mx.aol.com (v77_r1.36) with ESMTP; Tue, 05 Jun 2001 01:26:59 -0400
Received: from smtp-server ([66.61.29.166]) by mail7.mgfairfax.rr.com  with Microsoft SMTPSVC(5.5.1877.687.68);	 Tue, 5 Jun 2001 01:26:11 -0400
To:
From: ""The Power Marketing Association"" <pma-marketplace@mgfairfax.rr.com>
Date: Tue, 05 Jun 2001 01:24:34
Subject: PowerMarketers.com Daily Power Report for 5 June 2001
Content-Type: text/html; charset=""us-ascii""
Message-ID: <046fc1126050561FE7@mail7.mgfairfax.rr.com>
X-Mailer: Unknown (No Version)
MIME-Version: 1.0
Content-type: multipart/mixed; boundary=""part2_c.16be9629.284dc7c7_boundary""


<!-- saved from url=(0022)http://internet.e-mail -->

<html>
<head>

<meta name=""description"" content=""PowerMarketers.com/ The Power Marketing Association offering news, training and information for the new, competitive electric power industry."">
<meta name=""document_name"" content=""PowerMarketers.com POWER REPORT"">
<meta name=""keywords"" content=""electric, electricity, power, energy, news, marketing, organization, power marketing, utilities, Daily Power Report, PMA, Power Marketing Association, natural gas, electric deregulation, KRT, Reuters, magazine, power marketers, power industry"">
<title>The PowerMarketers.com POWER REPORT</title>
<style>
<!--

a{text-decoration:none}
//-->
</style>
<style fprolloverstyle>A:hover {color: #CC0000; font-weight: bold}
</style>
</head>

<body style=""font-family: Arial, Helvetica; list-style-type: disc; list-style-image: url('http://www.powermarketers.com/images/yellbull.gif')"" ""font-size: 9"" link=""#00009D"" alink=""#990000"" vlink=""#444464"">
<a name=""top""></a>
<table cellSpacing=""0"" cellPadding=""0"" width=""645"" align=""center"" bgColor=""#DDDDDD"" border=""0"">

  <tbody>
    <tr>
      <td colspan=""2"" valign=""middle"" align=""center"" nowrap height=""68"" bgcolor=""#FFFFFF"">
      <CENTER>
<NOLAYER>
<IFRAME SRC=""http://ad.doubleclick.net/adi/pmaol/;sz=468x60;tile=1;ord=5885498?"" width=""468"" height=""60"" frameborder=""no"" border=""0"" MARGINWIDTH=""0"" MARGINHEIGHT=""0"" SCROLLING=""no"">
<A HREF=""http://ad.doubleclick.net/jump/pmaol/;abr=!ie4;abr=!ie5;sz=468x60;tile=1;ord=5885498?""><IMG SRC=""http://ad.doubleclick.net/ad/pmaol/;abr=!ie4;abr=!ie5;sz=468x60;tile=1;ord=5885498?"" width=""468"" height=""60"" border=0></A>
</IFRAME>
</NOLAYER>
<!--<TABLE><TR><TD><ILAYER id=""layer1"" visibility=""hidden"" width=""468"" height=""60""></ILAYER></TD></TR></TABLE></CENTER>-->

      </td>
    </tr>
    <tr>
      <td colspan=""2""><map name=""FPMap0"">
        <area href=""mailto:pma@powermarketers.com"" shape=""rect"" coords=""588, 59, 644, 67"">
        <area href=""http://www.powermarketers.com/"" target=""_blank"" coords=""316, 58, 363, 67"" shape=""rect"">
        <area href=""http://www.retailenergy.com/pma/dprreg.htm"" target=""_blank"" shape=""rect"" coords=""368, 57, 490, 67"">
        <area href=""http://www.powermarketers.com/adrates.html"" target=""_blank"" shape=""rect"" coords=""497, 57, 581, 67""></map><img border=""0"" src=""http://www.powermarketers.com/images/prtopb.gif"" width=""645"" height=""68"" border=""0"" alt=""The PowerMarketers.com POWER REPORT"" usemap=""#FPMap0""></td>
    </tr>
    <tr>
      <td bgcolor=""#C0C0C0"" nowrap width=""50%"" valign=""middle""><font size=""1"">&nbsp;
        <a href=""http://www.powermarketers.com/"">www.PowerMarketers.com</a></font></td>
      <td align=""right"" bgcolor=""#C0C0C0"" nowrap width=""50%""><font face=""arial,helvetica"" color=""#000000"" size=""2""><em>June
        5th, 2001</em>&nbsp;&nbsp;</font></td>
    </tr>
    <!--############### END COMMENT IN EMAIL HEADER ############### -->
        <tr>
      <td colspan=""2"">
      <!-- begin newsletter content -->
        <table cellSpacing=""0"" cellPadding=""0"" width=""645"" border=""0"">
          <tbody>
            <tr>
              <td width=""10""></td>
              <td vAlign=""top"" width=""305"">
              <!-- BEGIN FIRST COLUMN -->
                <table cellSpacing=""0"" cellPadding=""0"" align=""center"" border=""0"">
                  <tbody>
                    <tr>
                      <td><font face=""arial, helvetica"" color=""#cc0000"" size=""4"" valign=""top""><br>
                        </font><font face=""arial, helvetica"" color=""#cc0000"" valign=""top"" size=""3""><b>Here
                        Are The Energy
                        Headlines From The Past 24 Hours:<br>
                        </b></font><font face=""arial, helvetica"" valign=""top"" size=""1""><i>Click
